sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
397;Zoey BALLARD;711111507;111-11-0396;ZoeyBALLARD2155@gmail.com;907-488-1815;house;894;542 E Street, Anchorage, AK, 99501;13;2;1;2;Y;Y;Y;N;W;123000;117544;5;NA;18/01/01;13/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
400;Aurora RENTON;711111510;111-11-0399;AuroraRENTON2155@hotmail.com;907-488-1818;house;1550;545 E Street, Anchorage, AK, 99501;65;2;3;2;Y;Y;Y;N;S;241000;235500;5;NA;19/01/01;01/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
410;Alexis FAIRLEY;711111520;111-11-0409;AlexisFAIRLEY2155@gmail.com;907-488-1828;house;2078;555 E Street, Anchorage, AK, 99501;43;3;4;3;Y;Y;Y;N;S;339750;333596;5;NA;19/01/01;12/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
417;Peyton MACALLISTER;711111527;111-11-0416;PeytonMACALLISTER2155@hotmail.com;907-488-1835;house;1400;562 E Street, Anchorage, AK, 99501;15;3;2;2;Y;Y;Y;N;N;149500;144854;5;NA;20/01/01;01/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
418;Addison MCCUSKER;711111528;111-11-0417;AddisonMCCUSKER2155@gmail.com;907-488-1836;house;2624;563 E Street, Anchorage, AK, 99501;33;4;4;3;Y;N;Y;Y;S;239000;233737;5;NA;20/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
431;Isla AITKEN;711111541;111-11-0430;IslaAITKEN2155@yahoo.com;907-488-1849;house;987;576 E Street, Anchorage, AK, 99501;63;2;2;1;Y;Y;Y;N;N;85400;83470;5;NA;22/01/01;08/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
434;Sienna MCKENNA;711111544;111-11-0433;SiennaMCKENNA2155@gmail.com;907-488-1852;house;1604;579 E Street, Anchorage, AK, 99501;54;3;3;2;Y;Y;Y;Y;N;181000;177903;5;NA;22/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
442;Harriet SPALDING;711111552;111-11-0441;HarrietSPALDING2155@yahoo.com;907-488-1860;house;1440;587 E Street, Anchorage, AK, 99501;32;4;2;0;Y;N;Y;N;W;118000;109712;5;NA;22/01/01;26/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
451;Emily MCWILLIAMS;711111561;111-11-0450;EmilyMCWILLIAMS2155@yahoo.com;907-488-1869;house;813;596 E Street, Anchorage, AK, 99501;58;2;1;1;Y;Y;Y;N;W;110000;109275;5;NA;23/01/01;31/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
458;Heidi MCLEAN;711111568;111-11-0457;HeidiMCLEAN2155@gmail.com;907-488-1876;house;1663;603 E Street, Anchorage, AK, 99501;48;2;2;2;Y;Y;Y;Y;N;256000;246839;5;NA;23/01/01;15/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
459;Sofia KNIGHT;711111569;111-11-0458;SofiaKNIGHT2155@hotmail.com;907-488-1877;house;1666;604 E Street, Anchorage, AK, 99501;65;3;1;1;Y;Y;Y;Y;E;161000;155527;5;NA;24/01/01;13/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
466;Kiara DYER;711111576;111-11-0465;KiaraDYER2155@hotmail.com;907-488-1884;house;1414;611 E Street, Anchorage, AK, 99501;7;2;2;2;Y;Y;Y;N;W;178740;171799;5;NA;24/01/01;24/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
469;Kiara TOSH;711111579;111-11-0468;KiaraTOSH2155@gmail.com;907-488-1887;house;1634;614 E Street, Anchorage, AK, 99501;48;3;2;3;Y;Y;Y;Y;W;250000;242554;5;NA;24/01/01;13/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
472;Sofia RUTHVEN;711111582;111-11-0471;SofiaRUTHVEN2155@gmail.com;907-488-1890;house;1969;617 E Street, Anchorage, AK, 99501;29;3;3;2;Y;Y;Y;N;S;190000;186743;5;NA;24/01/01;20/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
479;Eden CRAIGIE;711111589;111-11-0478;EdenCRAIGIE2155@hotmail.com;907-488-1897;house;1718;624 E Street, Anchorage, AK, 99501;13;3;3;3;Y;Y;Y;Y;N;297000;288557;5;NA;25/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
481;Heidi MCCARTHY;711111591;111-11-0480;HeidiMCCARTHY2155@gmail.com;907-488-1899;house;1850;626 E Street, Anchorage, AK, 99501;43;3;3;3;Y;Y;Y;N;S;326000;320562;5;NA;25/01/01;27/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
489;Isabella MACALLISTER;711111599;111-11-0488;IsabellaMACALLISTER2155@yahoo.com;907-488-1907;house;2414;634 E Street, Anchorage, AK, 99501;67;3;2;2;Y;N;Y;Y;N;160000;155890;5;NA;26/01/01;01/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
490;Penelope MILES;711111600;111-11-0489;PenelopeMILES2155@hotmail.com;907-488-1908;house;630;635 E Street, Anchorage, AK, 99501;39;1;2;1;Y;Y;Y;N;S;86000;84198;5;NA;26/01/01;14/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
491;Billie MUIR;711111601;111-11-0490;BillieMUIR2155@hotmail.com;907-488-1909;house;1304;636 E Street, Anchorage, AK, 99501;42;3;2;1;Y;Y;Y;N;S;115000;106639;5;NA;26/01/01;16/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
492;Ellie DUFFIN;711111602;111-11-0491;EllieDUFFIN2155@yahoo.com;907-488-1910;house;1578;637 E Street, Anchorage, AK, 99501;25;3;2;1;Y;Y;Y;N;E;133000;126163;5;NA;26/01/01;13/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
493;Ivy MCNAMARA;711111603;111-11-0492;IvyMCNAMARA2155@hotmail.com;907-488-1911;house;1456;638 E Street, Anchorage, AK, 99501;48;3;3;2;Y;Y;Y;Y;W;172785;162837;5;NA;26/01/01;08/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
494;Freya GOODWIN;711111604;111-11-0493;FreyaGOODWIN2155@hotmail.com;907-488-1912;house;1269;639 E Street, Anchorage, AK, 99501;4;3;2;1;Y;Y;Y;Y;N;155000;146119;5;NA;26/01/01;30/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
495;Harper MCVEIGH;711111605;111-11-0494;HarperMCVEIGH2155@gmail.com;907-488-1913;house;886;640 E Street, Anchorage, AK, 99501;11;2;1;1;Y;Y;Y;N;E;91300;86725;5;NA;26/01/01;05/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
496;Addison BRAID;711111606;111-11-0495;AddisonBRAID2155@hotmail.com;907-488-1914;house;720;641 E Street, Anchorage, AK, 99501;55;2;1;0;Y;N;Y;N;W;34900;26449;5;NA;26/01/01;10/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
497;Paige COWAN;711111607;111-11-0496;PaigeCOWAN2155@yahoo.com;907-488-1915;house;3228;642 E Street, Anchorage, AK, 99501;49;4;4;2;Y;Y;Y;N;N;430000;428611;5;NA;26/01/01;29/01/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
498;Emily MCGUIGAN;711111608;111-11-0497;EmilyMCGUIGAN2155@yahoo.com;907-488-1916;house;1820;643 E Street, Anchorage, AK, 99501;46;4;3;1;Y;Y;Y;Y;N;184000;176187;5;NA;26/01/01;07/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
499;Evie ATKINS;711111609;111-11-0498;EvieATKINS2155@gmail.com;907-488-1917;house;899;644 E Street, Anchorage, AK, 99501;64;3;1;1;Y;Y;Y;Y;S;130000;126535;5;NA;26/01/01;08/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
500;Charlie MCMURDO;711111610;111-11-0499;CharlieMCMURDO2155@yahoo.com;907-488-1918;house;912;645 E Street, Anchorage, AK, 99501;66;2;2;1;Y;Y;Y;N;S;120000;110855;5;NA;26/01/01;23/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
501;Sophie HALLEY;711111611;111-11-0500;SophieHALLEY2155@yahoo.com;907-488-1919;house;1218;646 E Street, Anchorage, AK, 99501;7;3;2;1;Y;Y;Y;N;E;113000;110650;5;NA;26/01/01;22/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
502;Zoey SNEDDEN;711111612;111-11-0501;ZoeySNEDDEN2155@hotmail.com;907-488-1920;house;1768;647 E Street, Anchorage, AK, 99501;40;3;3;2;Y;Y;Y;N;W;226700;225342;5;NA;26/01/01;05/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
503;Ellie SOUTAR;711111613;111-11-0502;EllieSOUTAR2155@gmail.com;907-488-1921;house;1214;648 E Street, Anchorage, AK, 99501;36;2;2;2;Y;Y;Y;Y;N;140000;131667;5;NA;26/01/01;01/02/01;sale;2;Anchorage;440 E Street, Anchorage, AK, 99501;907-272-4553;anchorage@realstateUSA.com
